series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Reported,22637,26651,24837,25069,22986,22260,22456,21157,20183,21517,21491,23419,24958,23988,23427,23987,24250,24564,24779,25593,22491,20892,21610,20993,22008,21994,23960,25609,24217,25403,29474,28325
Cleared,6486,8577,10102,10463,9111,8385,8283,8227,7351,8951,8318,8073,8178,7343,6716,5723,6246,6098,8383,9622,9864,9531,8511,7830,5943,6901,8336,8830,7157,6819,8172,7464
