series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Reported,13664,11829,11672,10843,10664,9569,9154,7886,7427,7263,7322,7361,6956,7173,6917,7479,7533,6837,6676,6192,5819,5252,5266,5037,4749,4702,4767,4570,4324,4265,4354,3885
Cleared,4965,4821,4813,4182,4020,3582,3739,3532,3413,3158,3086,3049,3111,3406,2925,2852,3163,3231,2843,2640,2622,2056,1744,1667,1613,1332,1431,1284,1308,1099,1097,1117
