series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Reported,10665,11010,10907,11911,11627,11590,10529,10376,10201,10199,9754,10532,10223,9722,9465,10691,11195,11158,10465,8730,8001,8089,9458,9492,8749,9261,10700,12511,12110,11803,13646
Cleared,5042,5399,5474,4484,4080,3544,3274,3321,3180,3224,3033,2971,3131,3036,2535,3266,3358,3210,3219,3068,2727,2698,3375,3431,2979,2674,2856,3371,3931,3749,3818
