series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Reported,7780,7221,7327,7437,6538,4904,4543,5002,4475,4166,4333,4150,4092,3944,3798,4109,4152,3667,3447,3861,3515,3664,3782,3760,4005,4090,4301,4470,5026,5000,4832,5869
Cleared,3367,3051,3174,3232,2852,2044,2061,2305,1226,1935,1969,1891,1770,1725,1702,1775,1569,1380,438,1224,1404,1443,1415,1537,1437,1534,1652,1730,1923,1827,1585,1831
