series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Reported,174542,170390,159578,153543,136522,115153,98660,92853,85891,78945,75692,68204,63839,59448,55688,54623,52086,50453,48430,46357,48489,51209,52993,52384,50564,50088,49124,46433,46113,47821,47959
Cleared,56822,55582,51080,47359,49291,19704,39862,42442,43086,37792,36970,34488,15517,0,0,0,0,0,0,0,0,0,0,32563,32130,31700,31656,29417,29355,30052,12845
