series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Reported,15607,15639,13945,14502,12971,12927,11990,11018,9505,7861,7877,7210,7228,7157,6461,6134,5931,6119,5709,4983,4879,4849,4856,4945,4473,4473,3989,3338,2978,2850,2645
Cleared,4327,3927,3673,3777,3331,3112,0,0,3235,2436,2247,2647,2599,2236,2277,1855,1474,1458,1755,1581,1883,1850,1706,1659,1408,1458,1536,1412,1390,1189,1291
