series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Reported,79121,86945,80467,75787,75233,70115,64746,62565,59930,48878,46521,44632,44022,37684,35106,34355,33776,33292,34195,32062,28402,26814,26248,25688,24133,24698,30193,29737,27420,25553,26583,7769
Cleared,26082,0,28303,25507,25982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609
